spam,R1000 CASH DRAW To enter SMS CASH to 37100 now Each SMS costs R2.00 Ts and Cs apply.
ham,Do not forget to bring your ID document for registration.
ham,Thanks for your help with the notes yesterday.
ham,Your delivery has been delayed by one day.
ham,We landed safely I will message you from the hotel.
ham,Reminder team stand-up starts in 30 minutes.
ham,I have booked the meeting room for 10:00.
ham,Your exam starts at 09:00 do not be late.
ham,Good morning I hope your workshop goes well.
spam,Limited offer get a new smartphone from only R2000 per month Call 0800123456 for details.
spam,Limited offer get a new smartphone from only R100 per month Call 0800123456 for details.
ham,Please confirm you can attend the training on Wednesday.
ham,The kids are excited about the trip this weekend.
ham,I have emailed you the link for the online meeting.
ham,Hey are we still meeting for 16:00?
ham,Please send me the invoice for the previous quarter.
ham,Please review the attached contract when you have time.
ham,Your appointment reminder Monday at 16:00.
ham,I have updated the report with your comments.
ham,We landed safely I will message you from the hotel.
ham,Your delivery has been delayed by one day.
ham,Your delivery has been delayed by one day.
spam,Important verify your account to access a bonus of up to R200 Visit http://promo-sa.co.za today.
ham,Thanks for your help with the report yesterday.
ham,Can you confirm that you received the payment?
ham,Reminder meeting starts in 10 minutes.
ham,Please confirm you can attend the training on Friday.
ham,Please review the attached spreadsheet when you have time.
ham,The meeting has moved to room 2.1 see you there.
ham,Meeting postponed to Monday same time same place.
ham,Please confirm you can attend the training on Friday.
ham,The exam timetable has been published on the portal.
ham,Can you share the minutes from todays meeting?
ham,The kids are excited about the trip this weekend.
ham,Can you confirm that you received the payment?
ham,The office will be closed on Tuesday.
ham,Please let me know your arrival time.
ham,Please let me know your arrival time.
ham,Your order has been shipped and should arrive on Wednesday.
ham,The meeting has moved to conference room 1 see you there.
ham,Please send me the address for tomorrows event.
spam,Limited-time reward get R300 back in cash when you sign up today Visit http://survey-rewards.co.za.
ham,I will pick you up at 16:00 outside your building.
ham,Your subscription has been renewed successfully.
ham,I have transferred the documents to your folder.
ham,Your parcel is ready for collection at home.
ham,Can you email me the final version of the draft?
ham,Your parcel is ready for collection at campus.
ham,Let us finalise the budget by Wednesday.
ham,Let us catch up over coffee next week.
ham,Thanks for your help with the slides yesterday.
ham,I will send you a summary of the meeting later.
ham,The exam timetable has been published on the portal.
ham,Your appointment reminder Wednesday at 18:00.
ham,I will pick you up at 09:30 outside your building.
ham,We can schedule a quick call tomorrow morning.
ham,I have updated the report with your comments.
spam,You have been pre-approved for a personal loan up to R500 Apply now at http://upgrade-now.co.za.
ham,Meeting postponed to Friday same time same place.
ham,Please confirm you can attend the training on Friday.
ham,Let us finalise the budget by Thursday.
ham,Your appointment is confirmed for Wednesday at 17:30.
ham,Your appointment reminder Friday at 14:00.
ham,Reminder workshop starts in 20 minutes.
ham,Please call me when you arrive at the office.
ham,Can you email me the final version of the assignment?
ham,I will call you during my lunch break.
ham,Let us catch up over coffee next week.
ham,Please send me the invoice for the previous quarter.
ham,Meeting postponed to Monday same time same place.
ham,I have emailed you the link for the online meeting.
ham,Let us catch up over coffee next week.
ham,The exam timetable has been published on the portal.
spam,Get R200 airtime FREE when you recharge for R5000 today Visit http://loan-fast.co.za to activate.
ham,Can you confirm that you received the payment?
ham,I will call you during my lunch break.
ham,Your exam starts at 15:00 do not be late.
ham,Can you confirm that you received the payment?
ham,Your parcel is ready for collection at the main gate.
spam,REWARD ALERT Complete a short survey and get R200 airtime Click http://loan-fast.co.za to start.
ham,I have updated the report with your comments.
ham,I will pick you up at 18:00 outside your building.
ham,Please collect the keys from reception before 10:00.
ham,Let us meet at the entrance at 17:30 tomorrow.
ham,We can schedule a quick call tomorrow morning.
ham,Your exam starts at 11:00 do not be late.
ham,Let us finalise the budget by Tuesday.
spam,URGENT Your mobile number has WON R1000 in our prize draw Call 0800987654 now.
ham,We can schedule a quick call tomorrow morning.
ham,The exam timetable has been published on the portal.
ham,Please send me the invoice for last month.
ham,Let us catch up over coffee next week.
ham,Your appointment reminder Tuesday at 11:00.
ham,Reminder workshop starts in 30 minutes.
ham,Your parcel is ready for collection at the mall.
ham,We can schedule a quick call tomorrow morning.
spam,Special promotion get 5GB data for only R150 Reply DATA to 40404 to subscribe.
ham,I will pick you up at 17:30 outside your building.
ham,Your order has been shipped and should arrive on Monday.
ham,Please call me when you arrive at the airport.
spam,You are our lucky WINNER of an R2000 shopping voucher SMS WIN to 32145 at R1.00 per SMS.
ham,I have booked the meeting room for 11:00.
ham,Can you share the minutes from todays meeting?
ham,Please send me the address for tomorrows event.
ham,Hey are we still meeting for 16:00?
ham,Can you email me the final version of the notes?
ham,Hey are we still meeting for 14:00?
ham,Can you share the minutes from todays meeting?
spam,Get R200 airtime FREE when you recharge for R250 today Visit http://promo-sa.co.za to activate.
ham,Reminder meeting starts in 20 minutes.
ham,The exam timetable has been published on the portal.
spam,URGENT Your mobile number has WON R150 in our prize draw Call 0871239876 now.
ham,I will call you during my lunch break.
ham,Thanks for your help with the report yesterday.
ham,I have booked the meeting room for 08:00.
ham,I have booked your car in for a service next week.
spam,Congratulations You have WON R750 cash Call 0871239876 now to claim.
ham,Hey are we still meeting for 08:00?
spam,Free entry into our weekly draw to WIN R750 SMS LUCKY to 31990 at R2.00.
ham,We should leave by 09:30 to miss traffic.
